City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
268,tucumcari,35.1717,-103.725,14.91,20,0,8.23,US,1682140668
269,upington,-28.4478,21.2561,12.78,29,80,2.9,ZA,1682140439
270,sparti,37.0733,22.4297,14.42,63,57,0.6,GR,1682140668
271,ciudad lazaro cardenas,17.9583,-102.2,25.14,74,29,2.24,MX,1682140632
272,kodiak,57.79,-152.4072,8.73,40,0,5.66,US,1682140668
273,amungan,15.3652,119.9582,30.0,69,90,3.84,PH,1682140669
274,eyl,7.9803,49.8164,29.71,64,99,5.1,SO,1682140596
275,adrar,20.5022,-10.0711,23.88,18,88,3.69,MR,1682140672
276,mangochi,-14.4782,35.2645,22.01,89,89,1.73,MW,1682140498
277,i-n-salah,27.1935,2.4607,22.97,36,10,5.6,DZ,1682140672
278,klyuchi,52.2667,79.1667,5.22,42,1,4.05,RU,1682140672
279,saipan,15.1355,145.701,29.39,100,75,6.17,MP,1682140673
280,borogontsy,62.6683,131.1683,-1.23,84,99,2.51,RU,1682140673
281,alofi,-19.0595,-169.9187,23.94,78,2,2.06,NU,1682140673
282,gotse delchev,41.5667,23.7333,9.57,84,49,0.88,BG,1682140673
283,nioki,-2.7167,17.6833,21.82,97,100,0.43,CD,1682140674
284,fort stockton,30.894,-102.8793,18.03,10,0,6.17,US,1682140674
285,katsuura,35.1333,140.3,13.07,57,100,5.38,JP,1682140590
286,manapparai,10.6,78.4167,33.48,45,14,1.34,IN,1682140668
287,fuli,46.7217,131.1394,8.76,22,78,7.88,CN,1682140675
288,naracoorte,-36.9579,140.7383,22.1,46,1,3.24,AU,1682140675
289,san luis de la loma,17.2706,-100.8939,25.25,76,49,2.49,MX,1682140675
290,kolonia,50.9333,6.95,12.12,84,0,3.6,DE,1682140622
291,ihosy,-22.4,46.1167,21.14,74,97,0.54,MG,1682140676
292,lethbridge,49.7,-112.8186,0.06,69,100,3.09,CA,1682140630
293,tsiombe,-25.3,45.4833,22.99,79,91,2.5,MG,1682140676
294,minas de marcona,-15.2119,-75.1103,16.93,80,17,1.88,PE,1682140593
295,talara,-4.5772,-81.2719,26.01,83,100,4.04,PE,1682140591
296,camana,-16.6228,-72.7111,20.82,87,26,1.41,PE,1682140677
297,uturoa,-16.7333,-151.4333,28.38,79,59,7.92,PF,1682140678
298,pimenta bueno,-11.6725,-61.1936,21.8,97,100,0.76,BR,1682140612
299,elverum,60.8819,11.5623,3.11,95,99,0.69,NO,1682140678
300,naberezhnyye chelny,55.7561,52.4289,8.49,82,100,1.77,RU,1682140679
301,saint-joseph,-21.3667,55.6167,28.21,73,25,0.67,RE,1682140680
302,aljezur,37.3191,-8.8033,11.67,88,83,2.3,PT,1682140680
303,bondo,3.8146,23.6866,21.9,99,100,1.55,CD,1682140680
304,auki,-8.7676,160.7034,29.64,66,24,0.96,SB,1682140680
305,puerto baquerizo moreno,-0.9,-89.6,26.22,80,73,3.98,EC,1682140681
306,santa elena de uairen,4.6167,-61.1333,20.27,94,100,0.65,VE,1682140681
307,padang,-0.9492,100.3543,29.03,79,53,2.19,ID,1682140681
308,es castell,39.8795,4.2854,13.38,100,0,3.09,ES,1682140681
309,axim,4.8699,-2.2405,26.35,84,100,2.62,GH,1682140682
310,ntoum,0.3833,9.7833,23.07,96,99,0.92,GA,1682140682
311,n'zeto,-7.2312,12.8666,24.42,89,99,1.26,AO,1682140682
312,turaif,31.6725,38.6637,17.14,39,0,5.14,SA,1682140682
313,kimbe,-5.5502,150.1429,28.77,82,60,1.11,PG,1682140683
314,vilyuysk,63.7553,121.6247,-1.88,78,100,4.17,RU,1682140683
315,sirte,31.2089,16.5887,23.91,30,99,7.9,LY,1682140684
316,itirucu,-13.5317,-40.1503,18.1,96,99,1.69,BR,1682140684
317,moengo,5.6167,-54.4,23.37,99,99,0.76,SR,1682140684
318,st. john's,47.5649,-52.7093,2.21,96,100,9.77,CA,1682140684
319,kununurra,-15.7667,128.7333,32.99,35,42,7.2,AU,1682140685
320,kirensk,57.7853,108.1119,1.29,55,100,3.88,RU,1682140685
321,nouadhibou,20.931,-17.0347,18.99,82,52,6.69,MR,1682140685
322,namie,37.4833,141.0,15.95,33,90,9.88,JP,1682140579
323,upata,8.0086,-62.3989,22.33,94,100,3.0,VE,1682140686
324,seaford,50.7714,0.1027,7.06,92,97,2.21,GB,1682140687
325,shetpe,44.1667,52.1167,15.45,57,50,5.71,KZ,1682140687
326,dunedin,-45.8742,170.5036,11.56,10,41,1.96,NZ,1682140454
327,kuvandyk,51.4781,57.3552,13.4,39,100,8.58,RU,1682140502
328,lerwick,60.1545,-1.1494,6.0,85,0,5.41,GB,1682140688
329,xinzhi,36.4989,111.7047,5.73,92,100,1.91,CN,1682140545
330,ajaccio,42.0,8.9167,9.03,81,0,3.6,FR,1682140688
331,pisco,-13.7,-76.2167,22.03,83,100,3.6,PE,1682140688
332,papao,-17.75,-149.55,27.82,83,70,9.62,PF,1682140689
333,corinto,37.9407,22.9573,16.05,73,21,0.72,GR,1682140689
334,jimo,36.3897,120.4622,16.88,27,0,6.0,CN,1682140689
335,mazidagi,37.4775,40.4881,11.5,46,7,0.51,TR,1682140690
336,hailey,43.5196,-114.3153,2.92,54,0,7.15,US,1682140690
337,nazret,8.55,39.2667,19.69,71,100,1.57,ET,1682140663
338,iskateley,67.6803,53.1512,-5.37,87,53,1.94,RU,1682140691
339,fort bragg,35.139,-79.006,18.85,71,0,2.06,US,1682140691
340,perelyub,51.8667,50.3667,12.58,65,98,3.67,RU,1682140691
341,hammerfest,70.6634,23.6821,-2.54,66,100,10.63,NO,1682140691
342,ginir,7.1333,40.7,18.33,71,93,1.57,ET,1682140691
343,touros,-5.1989,-35.4608,25.14,78,91,4.92,BR,1682140692
344,vuktyl,63.8567,57.3094,0.7,99,100,3.02,RU,1682140693
345,labrador city,52.9463,-66.9114,1.95,80,100,2.06,CA,1682140693
346,flying fish cove,-10.4217,105.6791,27.53,75,59,6.79,CX,1682140693
347,val-d'or,48.1002,-77.7828,4.05,100,100,1.03,CA,1682140662
348,rong kwang,18.339,100.3174,37.5,28,0,1.87,TH,1682140401
349,taishan,22.2514,112.7799,26.73,88,100,3.13,CN,1682140448
350,castillos,-34.1667,-53.8333,14.52,92,100,2.59,UY,1682140694
351,laela,-8.5667,32.05,16.56,91,100,2.17,TZ,1682140694
352,rio grande,-32.035,-52.0986,18.68,82,100,5.31,BR,1682140694
353,sur,22.5667,59.5289,30.38,52,48,1.59,OM,1682140695
354,north platte,41.1239,-100.7654,0.62,62,0,5.36,US,1682140695
355,igarka,67.4667,86.5833,-0.73,98,100,9.34,RU,1682140695
356,joaquin v. gonzalez,-25.0833,-64.1833,18.76,66,95,0.57,AR,1682140643
357,holualoa,19.6228,-155.9522,23.91,89,20,6.17,US,1682140696
358,prince rupert,54.3161,-130.3201,6.83,99,100,8.23,CA,1682140696
359,martuk,50.7475,56.5056,13.63,37,100,9.27,KZ,1682140696
360,ola,59.5833,151.2833,1.59,69,46,13.94,RU,1682140696
361,kavaratti,10.5669,72.642,28.88,71,12,3.72,IN,1682140696
